County,Vote type,Total ballots,Contest,Ballots cast,Undervotes
Bibb,Election Day,29989,Lieutenant Governor,29640,349
Bibb,Provisional,78,Lieutenant Governor,76,2
Bleckley,Absentee by Mail,228,Lieutenant Governor,226,2
Bleckley,Advance in Person,1157,Lieutenant Governor,1147,10
Bleckley,Election Day,1855,Lieutenant Governor,1851,4
Bleckley,Provisional,5,Lieutenant Governor,4,1
Brantley,Absentee by Mail,143,Lieutenant Governor,142,1
Brantley,Advance in Person,747,Lieutenant Governor,739,8
Brantley,Election Day,2086,Lieutenant Governor,2078,8
Brantley,Provisional,4,Lieutenant Governor,4,0
Brooks,Absentee by Mail,1016,Lieutenant Governor,1006,10
Brooks,Advance in Person,1259,Lieutenant Governor,1250,9
Brooks,Election Day,2355,Lieutenant Governor,2332,23
Brooks,Provisional,26,Lieutenant Governor,25,1
Bryan,Absentee by Mail,237,Lieutenant Governor,233,4
Bryan,Advance in Person,2852,Lieutenant Governor,2843,9
Bryan,Election Day,4863,Lieutenant Governor,4845,18
Bryan,Provisional,3,Lieutenant Governor,3,0
Bulloch,Absentee by Mail,541,Lieutenant Governor,537,4
Bulloch,Advance in Person,3846,Lieutenant Governor,3835,11
Bulloch,Election Day,9455,Lieutenant Governor,9394,61
Bulloch,Provisional,12,Lieutenant Governor,12,0
Burke,Absentee by Mail,594,Lieutenant Governor,592,2
Burke,Advance in Person,1260,Lieutenant Governor,1247,13
Burke,Election Day,4049,Lieutenant Governor,4006,43
Burke,Provisional,0,Lieutenant Governor,0,0
Butts,Absentee by Mail,183,Lieutenant Governor,181,2
Butts,Advance in Person,3252,Lieutenant Governor,3229,23
Butts,Election Day,2671,Lieutenant Governor,2656,15
Butts,Provisional,0,Lieutenant Governor,0,0
Calhoun,Absentee by Mail,91,Lieutenant Governor,89,2
Calhoun,Advance in Person,320,Lieutenant Governor,317,3
Calhoun,Election Day,1044,Lieutenant Governor,1044,0
Calhoun,Provisional,2,Lieutenant Governor,2,0
Camden,Absentee by Mail,586,Lieutenant Governor,583,3
Camden,Advance in Person,2509,Lieutenant Governor,2501,8
Camden,Election Day,6720,Lieutenant Governor,6684,36
Camden,Provisional,9,Lieutenant Governor,9,0
Candler,Absentee by Mail,108,Lieutenant Governor,108,0
Candler,Advance in Person,835,Lieutenant Governor,834,1
Candler,Election Day,1258,Lieutenant Governor,1255,3
Candler,Provisional,0,Lieutenant Governor,0,0
Carroll,Absentee by Mail,845,Lieutenant Governor,839,6
Carroll,Advance in Person,7673,Lieutenant Governor,7641,32
Carroll,Election Day,17495,Lieutenant Governor,17428,67
Carroll,Provisional,53,Lieutenant Governor,53,0
Catoosa,Absentee by Mail,456,Lieutenant Governor,447,9
Catoosa,Advance in Person,4909,Lieutenant Governor,4843,66
Catoosa,Election Day,8541,Lieutenant Governor,8397,144
Catoosa,Provisional,14,Lieutenant Governor,14,0
Charlton,Absentee by Mail,80,Lieutenant Governor,79,1
Charlton,Advance in Person,684,Lieutenant Governor,683,1
Charlton,Election Day,1247,Lieutenant Governor,1237,10
Charlton,Provisional,4,Lieutenant Governor,4,0
Chatham,Absentee by Mail,2948,Lieutenant Governor,2911,37
Chatham,Advance in Person,17241,Lieutenant Governor,17230,11
Chatham,Election Day,48480,Lieutenant Governor,48390,90
Chatham,Provisional,55,Lieutenant Governor,53,2
Chattahoochee,Absentee by Mail,22,Lieutenant Governor,21,1
Chattahoochee,Advance in Person,196,Lieutenant Governor,194,2
Chattahoochee,Election Day,481,Lieutenant Governor,476,5
Chattahoochee,Provisional,2,Lieutenant Governor,2,0
Chattooga,Absentee by Mail,107,Lieutenant Governor,104,3
Chattooga,Advance in Person,1625,Lieutenant Governor,1588,37
Chattooga,Election Day,3090,Lieutenant Governor,3037,53
Chattooga,Provisional,2,Lieutenant Governor,2,0
Cherokee,Absentee by Mail,2440,Lieutenant Governor,2414,26
Cherokee,Advance in Person,23437,Lieutenant Governor,23263,174
Cherokee,Election Day,40811,Lieutenant Governor,40474,337
Cherokee,Provisional,31,Lieutenant Governor,29,2
Clarke,Absentee by Mail,1152,Lieutenant Governor,1128,24
Clarke,Advance in Person,7332,Lieutenant Governor,7214,118
Clarke,Election Day,16976,Lieutenant Governor,16668,308
Clarke,Provisional,76,Lieutenant Governor,74,2
Clay,Absentee by Mail,90,Lieutenant Governor,90,0
Clay,Advance in Person,244,Lieutenant Governor,240,4
Clay,Election Day,602,Lieutenant Governor,592,10
Clay,Provisional,1,Lieutenant Governor,1,0
Clayton,Absentee by Mail,1772,Lieutenant Governor,1756,16
Clayton,Advance in Person,25878,Lieutenant Governor,25809,69
Clayton,Election Day,34794,Lieutenant Governor,34628,166
Clayton,Provisional,66,Lieutenant Governor,66,0
Clinch,Absentee by Mail,53,Lieutenant Governor,53,0
Clinch,Advance in Person,340,Lieutenant Governor,333,7
Clinch,Election Day,777,Lieutenant Governor,768,9
Clinch,Provisional,2,Lieutenant Governor,2,0
Cobb,Absentee by Mail,10616,Lieutenant Governor,10447,169
Cobb,Advance in Person,58755,Lieutenant Governor,58151,604
Cobb,Election Day,143123,Lieutenant Governor,140677,2446
Cobb,Provisional,581,Lieutenant Governor,566,15
Coffee,Absentee by Mail,328,Lieutenant Governor,327,1
Coffee,Advance in Person,3477,Lieutenant Governor,3465,12
Coffee,Election Day,4390,Lieutenant Governor,4336,54
Coffee,Provisional,7,Lieutenant Governor,7,0
Colquitt,Absentee by Mail,172,Lieutenant Governor,171,1
Colquitt,Advance in Person,2409,Lieutenant Governor,2377,32
Colquitt,Election Day,5359,Lieutenant Governor,5325,34
Colquitt,Provisional,4,Lieutenant Governor,4,0
Columbia,Absentee by Mail,1698,Lieutenant Governor,1687,11
Columbia,Advance in Person,11710,Lieutenant Governor,11710,0
Columbia,Election Day,26403,Lieutenant Governor,26403,0
Columbia,Provisional,10,Lieutenant Governor,10,0
Cook,Absentee by Mail,113,Lieutenant Governor,113,0
Cook,Advance in Person,1115,Lieutenant Governor,1099,16
Cook,Election Day,2316,Lieutenant Governor,2299,17
Cook,Provisional,0,Lieutenant Governor,0,0
Coweta,Absentee by Mail,1733,Lieutenant Governor,1720,13
Coweta,Advance in Person,9167,Lieutenant Governor,9136,31
Coweta,Election Day,26256,Lieutenant Governor,26126,130
Coweta,Provisional,15,Lieutenant Governor,15,0
Crawford,Absentee by Mail,146,Lieutenant Governor,146,0
Crawford,Advance in Person,1092,Lieutenant Governor,1066,26
Crawford,Election Day,2012,Lieutenant Governor,1994,18
Crawford,Provisional,4,Lieutenant Governor,4,0
Crisp,Absentee by Mail,169,Lieutenant Governor,167,2
Crisp,Advance in Person,2060,Lieutenant Governor,2024,36
Crisp,Election Day,2752,Lieutenant Governor,2710,42
Crisp,Provisional,2,Lieutenant Governor,2,0
Dade,Absentee by Mail,114,Lieutenant Governor,109,5
Dade,Advance in Person,1030,Lieutenant Governor,996,34
Dade,Election Day,2283,Lieutenant Governor,2210,73
Dade,Provisional,9,Lieutenant Governor,9,0
Dawson,Absentee by Mail,311,Lieutenant Governor,307,4
Dawson,Advance in Person,3231,Lieutenant Governor,3196,35
Dawson,Election Day,3731,Lieutenant Governor,3702,29
Dawson,Provisional,11,Lieutenant Governor,11,0
DeKalb,Absentee by Mail,8280,Lieutenant Governor,8118,162
DeKalb,Advance in Person,72480,Lieutenant Governor,71949,531
DeKalb,Election Day,129376,Lieutenant Governor,127506,1870
DeKalb,Provisional,503,Lieutenant Governor,493,10
Decatur,Absentee by Mail,269,Lieutenant Governor,267,2
Decatur,Advance in Person,1985,Lieutenant Governor,1961,24
Decatur,Election Day,3820,Lieutenant Governor,3784,36
Decatur,Provisional,5,Lieutenant Governor,5,0
Dodge,Absentee by Mail,219,Lieutenant Governor,217,2
Dodge,Advance in Person,1690,Lieutenant Governor,1644,46
Dodge,Election Day,3173,Lieutenant Governor,3132,41
Dodge,Provisional,0,Lieutenant Governor,0,0
Dooly,Absentee by Mail,68,Lieutenant Governor,68,0
Dooly,Advance in Person,834,Lieutenant Governor,801,33
Dooly,Election Day,1783,Lieutenant Governor,1751,32
Dooly,Provisional,0,Lieutenant Governor,0,0
Dougherty,Absentee by Mail,1050,Lieutenant Governor,1037,13
Dougherty,Advance in Person,6272,Lieutenant Governor,6211,61
Dougherty,Election Day,16148,Lieutenant Governor,16067,81
Dougherty,Provisional,41,Lieutenant Governor,41,0
Douglas,Absentee by Mail,1308,Lieutenant Governor,1298,10
Douglas,Advance in Person,15797,Lieutenant Governor,15757,40
Douglas,Election Day,20398,Lieutenant Governor,20398,0
Douglas,Provisional,27,Lieutenant Governor,27,0
Early,Absentee by Mail,140,Lieutenant Governor,140,0
Early,Advance in Person,890,Lieutenant Governor,876,14
Early,Election Day,2163,Lieutenant Governor,2141,22
Early,Provisional,3,Lieutenant Governor,3,0
Echols,Absentee by Mail,19,Lieutenant Governor,19,0
Echols,Advance in Person,243,Lieutenant Governor,240,3
Echols,Election Day,361,Lieutenant Governor,357,4
Echols,Provisional,0,Lieutenant Governor,0,0
Effingham,Absentee by Mail,373,Lieutenant Governor,371,2
Effingham,Advance in Person,3036,Lieutenant Governor,3030,6
Effingham,Election Day,9204,Lieutenant Governor,9204,0
Effingham,Provisional,10,Lieutenant Governor,9,1
Elbert,Absentee by Mail,219,Lieutenant Governor,218,1
Elbert,Advance in Person,1841,Lieutenant Governor,1808,33
Elbert,Election Day,2632,Lieutenant Governor,2628,4
Elbert,Provisional,11,Lieutenant Governor,10,1
Emanuel,Absentee by Mail,213,Lieutenant Governor,210,3
Emanuel,Advance in Person,1187,Lieutenant Governor,1163,24
Emanuel,Election Day,3581,Lieutenant Governor,3526,55
Emanuel,Provisional,1,Lieutenant Governor,1,0
Evans,Absentee by Mail,122,Lieutenant Governor,122,0
Evans,Advance in Person,921,Lieutenant Governor,916,5
Evans,Election Day,1107,Lieutenant Governor,1104,3
Evans,Provisional,0,Lieutenant Governor,0,0
Fannin,Absentee by Mail,417,Lieutenant Governor,411,6
Fannin,Advance in Person,2268,Lieutenant Governor,2248,20
Fannin,Election Day,4216,Lieutenant Governor,4163,53
Fannin,Provisional,3,Lieutenant Governor,3,0
Fayette,Absentee by Mail,1272,Lieutenant Governor,1260,12
Fayette,Advance in Person,18189,Lieutenant Governor,18067,122
Fayette,Election Day,22606,Lieutenant Governor,22413,193
Fayette,Provisional,13,Lieutenant Governor,13,0
Floyd,Absentee by Mail,771,Lieutenant Governor,761,10
Floyd,Advance in Person,5763,Lieutenant Governor,5755,8
Floyd,Election Day,14210,Lieutenant Governor,14079,131
Floyd,Provisional,78,Lieutenant Governor,76,2
Forsyth,Absentee by Mail,1655,Lieutenant Governor,1624,31
Forsyth,Advance in Person,22647,Lieutenant Governor,22478,169
Forsyth,Election Day,32220,Lieutenant Governor,32003,217
Forsyth,Provisional,48,Lieutenant Governor,46,2
Franklin,Absentee by Mail,198,Lieutenant Governor,194,4
Franklin,Advance in Person,1077,Lieutenant Governor,1064,13
Franklin,Election Day,3454,Lieutenant Governor,3436,18
Franklin,Provisional,1,Lieutenant Governor,1,0
Fulton,Absentee by Mail,8864,Lieutenant Governor,8749,115
Fulton,Advance in Person,87201,Lieutenant Governor,86235,966
Fulton,Election Day,167468,Lieutenant Governor,164912,2556
Fulton,Provisional,2135,Lieutenant Governor,2083,52
Gilmer,Absentee by Mail,378,Lieutenant Governor,377,1
Gilmer,Advance in Person,2578,Lieutenant Governor,2552,26
Gilmer,Election Day,4854,Lieutenant Governor,4797,57
Gilmer,Provisional,16,Lieutenant Governor,15,1
Glascock,Absentee by Mail,36,Lieutenant Governor,35,1
Glascock,Advance in Person,211,Lieutenant Governor,206,5
Glascock,Election Day,542,Lieutenant Governor,538,4
Glascock,Provisional,0,Lieutenant Governor,0,0
Glynn,Absentee by Mail,883,Lieutenant Governor,876,7
Glynn,Advance in Person,7098,Lieutenant Governor,7077,21
Glynn,Election Day,12102,Lieutenant Governor,12057,45
Glynn,Provisional,36,Lieutenant Governor,34,2
Gordon,Absentee by Mail,370,Lieutenant Governor,364,6
Gordon,Advance in Person,2666,Lieutenant Governor,2610,56
Gordon,Election Day,7273,Lieutenant Governor,7154,119
Gordon,Provisional,16,Lieutenant Governor,15,1
Grady,Absentee by Mail,157,Lieutenant Governor,155,2
Grady,Advance in Person,1854,Lieutenant Governor,1817,37
Grady,Election Day,3548,Lieutenant Governor,3523,25
Grady,Provisional,6,Lieutenant Governor,6,0
Greene,Absentee by Mail,538,Lieutenant Governor,534,4
Greene,Advance in Person,3068,Lieutenant Governor,3060,8
Greene,Election Day,2907,Lieutenant Governor,2869,38
Greene,Provisional,10,Lieutenant Governor,10,0
Gwinnett,Absentee by Mail,8170,Lieutenant Governor,8069,101
Gwinnett,Advance in Person,47244,Lieutenant Governor,47022,222
Gwinnett,Election Day,141636,Lieutenant Governor,140563,1073
Gwinnett,Provisional,1155,Lieutenant Governor,1133,22
Habersham,Absentee by Mail,704,Lieutenant Governor,700,4
Habersham,Advance in Person,5381,Lieutenant Governor,5332,49
Habersham,Election Day,3529,Lieutenant Governor,3505,24
Habersham,Provisional,34,Lieutenant Governor,31,3
Hall,Absentee by Mail,2074,Lieutenant Governor,2059,15
Hall,Advance in Person,12299,Lieutenant Governor,12170,129
Hall,Election Day,29428,Lieutenant Governor,29236,192
Hall,Provisional,42,Lieutenant Governor,41,1
Hancock,Absentee by Mail,283,Lieutenant Governor,278,5
Hancock,Advance in Person,839,Lieutenant Governor,813,26
Hancock,Election Day,1257,Lieutenant Governor,1232,25
Hancock,Provisional,19,Lieutenant Governor,16,3
Haralson,Absentee by Mail,262,Lieutenant Governor,261,1
Haralson,Advance in Person,1563,Lieutenant Governor,1552,11
Haralson,Election Day,4986,Lieutenant Governor,4943,43
Haralson,Provisional,2,Lieutenant Governor,2,0
Harris,Absentee by Mail,493,Lieutenant Governor,491,2
Harris,Advance in Person,2950,Lieutenant Governor,2937,13
Harris,Election Day,6803,Lieutenant Governor,6786,17
Harris,Provisional,2,Lieutenant Governor,2,0
Hart,Absentee by Mail,287,Lieutenant Governor,281,6
Hart,Advance in Person,2309,Lieutenant Governor,2261,48
Hart,Election Day,4185,Lieutenant Governor,4159,26
Hart,Provisional,1,Lieutenant Governor,1,0
Heard,Absentee by Mail,157,Lieutenant Governor,154,3
Heard,Advance in Person,552,Lieutenant Governor,538,14
Heard,Election Day,1772,Lieutenant Governor,1765,7
Heard,Provisional,0,Lieutenant Governor,0,0
Henry,Absentee by Mail,2016,Lieutenant Governor,2005,11
Henry,Advance in Person,29231,Lieutenant Governor,29215,16
Henry,Election Day,31732,Lieutenant Governor,31694,38
Henry,Provisional,102,Lieutenant Governor,101,1
Houston,Absentee by Mail,1431,Lieutenant Governor,1414,17
Houston,Advance in Person,16400,Lieutenant Governor,16340,60
Houston,Election Day,19454,Lieutenant Governor,19334,120
Houston,Provisional,62,Lieutenant Governor,58,4
Irwin,Absentee by Mail,61,Lieutenant Governor,61,0
Irwin,Advance in Person,719,Lieutenant Governor,690,29
Irwin,Election Day,1581,Lieutenant Governor,1547,34
Irwin,Provisional,3,Lieutenant Governor,2,1
Jackson,Absentee by Mail,495,Lieutenant Governor,489,6
Jackson,Advance in Person,5419,Lieutenant Governor,5397,22
Jackson,Election Day,10060,Lieutenant Governor,10002,58
Jackson,Provisional,16,Lieutenant Governor,15,1
Jasper,Absentee by Mail,255,Lieutenant Governor,253,2
Jasper,Advance in Person,1280,Lieutenant Governor,1264,16
Jasper,Election Day,2305,Lieutenant Governor,2304,1
Jasper,Provisional,2,Lieutenant Governor,2,0
Jeff Davis,Absentee by Mail,153,Lieutenant Governor,149,4
Jeff Davis,Advance in Person,861,Lieutenant Governor,846,15
Jeff Davis,Election Day,1973,Lieutenant Governor,1938,35
Jeff Davis,Provisional,1,Lieutenant Governor,1,0
Jefferson,Absentee by Mail,216,Lieutenant Governor,213,3
Jefferson,Advance in Person,1158,Lieutenant Governor,1150,8
Jefferson,Election Day,3144,Lieutenant Governor,3100,44
Jefferson,Provisional,20,Lieutenant Governor,20,0
Jenkins,Absentee by Mail,163,Lieutenant Governor,162,1
Jenkins,Advance in Person,671,Lieutenant Governor,665,6
Jenkins,Election Day,1088,Lieutenant Governor,1069,19
Jenkins,Provisional,0,Lieutenant Governor,0,0
Johnson,Absentee by Mail,92,Lieutenant Governor,91,1
Johnson,Advance in Person,789,Lieutenant Governor,769,20
Johnson,Election Day,1415,Lieutenant Governor,1403,12
Johnson,Provisional,0,Lieutenant Governor,0,0
Jones,Absentee by Mail,511,Lieutenant Governor,506,5
Jones,Advance in Person,2913,Lieutenant Governor,2908,5
Jones,Election Day,4638,Lieutenant Governor,4628,10
Jones,Provisional,7,Lieutenant Governor,7,0
Lamar,Absentee by Mail,215,Lieutenant Governor,213,2
Lamar,Advance in Person,1700,Lieutenant Governor,1672,28
Lamar,Election Day,3046,Lieutenant Governor,3041,5
Lamar,Provisional,5,Lieutenant Governor,5,0
Lanier,Absentee by Mail,40,Lieutenant Governor,40,0
Lanier,Advance in Person,521,Lieutenant Governor,508,13
Lanier,Election Day,878,Lieutenant Governor,866,12
Lanier,Provisional,4,Lieutenant Governor,4,0
Laurens,Absentee by Mail,763,Lieutenant Governor,758,5
Laurens,Advance in Person,3953,Lieutenant Governor,3913,40
Laurens,Election Day,8153,Lieutenant Governor,8058,95
Laurens,Provisional,14,Lieutenant Governor,14,0
Lee,Absentee by Mail,241,Lieutenant Governor,241,0
Lee,Advance in Person,2107,Lieutenant Governor,2104,3
Lee,Election Day,6514,Lieutenant Governor,6505,9
Lee,Provisional,5,Lieutenant Governor,5,0
Liberty,Absentee by Mail,209,Lieutenant Governor,207,2
Liberty,Advance in Person,3652,Lieutenant Governor,3626,26
Liberty,Election Day,5097,Lieutenant Governor,5081,16
Liberty,Provisional,4,Lieutenant Governor,4,0
Lincoln,Absentee by Mail,222,Lieutenant Governor,222,0
Lincoln,Advance in Person,899,Lieutenant Governor,890,9
Lincoln,Election Day,1554,Lieutenant Governor,1550,4
Lincoln,Provisional,13,Lieutenant Governor,13,0
Long,Absentee by Mail,40,Lieutenant Governor,40,0
Long,Advance in Person,691,Lieutenant Governor,686,5
Long,Election Day,1397,Lieutenant Governor,1385,12
Long,Provisional,6,Lieutenant Governor,6,0
Lowndes,Absentee by Mail,532,Lieutenant Governor,528,4
Lowndes,Advance in Person,8813,Lieutenant Governor,8787,26
Lowndes,Election Day,11478,Lieutenant Governor,11432,46
Lowndes,Provisional,560,Lieutenant Governor,558,2
Lumpkin,Absentee by Mail,305,Lieutenant Governor,303,2
Lumpkin,Advance in Person,2933,Lieutenant Governor,2927,6
Lumpkin,Election Day,4404,Lieutenant Governor,4379,25
Lumpkin,Provisional,15,Lieutenant Governor,15,0
Macon,Absentee by Mail,106,Lieutenant Governor,106,0
Macon,Advance in Person,1207,Lieutenant Governor,1160,47
Macon,Election Day,1695,Lieutenant Governor,1641,54
Macon,Provisional,0,Lieutenant Governor,0,0
Madison,Absentee by Mail,312,Lieutenant Governor,310,2
Madison,Advance in Person,2257,Lieutenant Governor,2254,3
Madison,Election Day,4970,Lieutenant Governor,4928,42
Madison,Provisional,6,Lieutenant Governor,5,1
Marion,Absentee by Mail,219,Lieutenant Governor,216,3
Marion,Advance in Person,612,Lieutenant Governor,602,10
Marion,Election Day,1314,Lieutenant Governor,1283,31
Marion,Provisional,0,Lieutenant Governor,0,0
McDuffie,Absentee by Mail,351,Lieutenant Governor,349,2
McDuffie,Advance in Person,2043,Lieutenant Governor,2026,17
McDuffie,Election Day,3653,Lieutenant Governor,3628,25
McDuffie,Provisional,3,Lieutenant Governor,2,1
McIntosh,Absentee by Mail,300,Lieutenant Governor,291,9
McIntosh,Advance in Person,1300,Lieutenant Governor,1287,13
McIntosh,Election Day,2233,Lieutenant Governor,2222,11
McIntosh,Provisional,7,Lieutenant Governor,7,0
Meriwether,Absentee by Mail,207,Lieutenant Governor,204,3
Meriwether,Advance in Person,1188,Lieutenant Governor,1171,17
Meriwether,Election Day,4671,Lieutenant Governor,4606,65
Meriwether,Provisional,1,Lieutenant Governor,1,0
Miller,Absentee by Mail,53,Lieutenant Governor,53,0
Miller,Advance in Person,436,Lieutenant Governor,433,3
Miller,Election Day,937,Lieutenant Governor,927,10
Miller,Provisional,1,Lieutenant Governor,1,0
Mitchell,Absentee by Mail,202,Lieutenant Governor,202,0
Mitchell,Advance in Person,1589,Lieutenant Governor,1566,23
Mitchell,Election Day,3215,Lieutenant Governor,3188,27
Mitchell,Provisional,3,Lieutenant Governor,3,0
Monroe,Absentee by Mail,358,Lieutenant Governor,356,2
Monroe,Advance in Person,2523,Lieutenant Governor,2498,25
Monroe,Election Day,5671,Lieutenant Governor,5655,16
Monroe,Provisional,23,Lieutenant Governor,22,1
Montgomery,Absentee by Mail,92,Lieutenant Governor,90,2
Montgomery,Advance in Person,463,Lieutenant Governor,450,13
Montgomery,Election Day,1730,Lieutenant Governor,1700,30
Montgomery,Provisional,0,Lieutenant Governor,0,0
Morgan,Absentee by Mail,193,Lieutenant Governor,193,0
Morgan,Advance in Person,2475,Lieutenant Governor,2471,4
Morgan,Election Day,3635,Lieutenant Governor,3610,25
Morgan,Provisional,7,Lieutenant Governor,7,0
Murray,Absentee by Mail,207,Lieutenant Governor,199,8
Murray,Advance in Person,1347,Lieutenant Governor,1313,34
Murray,Election Day,4497,Lieutenant Governor,4410,87
Murray,Provisional,0,Lieutenant Governor,0,0
Muscogee,Absentee by Mail,2150,Lieutenant Governor,2133,17
Muscogee,Advance in Person,13494,Lieutenant Governor,13321,173
Muscogee,Election Day,25301,Lieutenant Governor,25201,100
Muscogee,Provisional,63,Lieutenant Governor,63,0
Newton,Absentee by Mail,1136,Lieutenant Governor,1124,12
Newton,Advance in Person,10430,Lieutenant Governor,10387,43
Newton,Election Day,16634,Lieutenant Governor,16600,34
Newton,Provisional,2,Lieutenant Governor,2,0
Oconee,Absentee by Mail,368,Lieutenant Governor,360,8
Oconee,Advance in Person,5438,Lieutenant Governor,5368,70
Oconee,Election Day,7726,Lieutenant Governor,7581,145
Oconee,Provisional,7,Lieutenant Governor,6,1
Oglethorpe,Absentee by Mail,217,Lieutenant Governor,217,0
Oglethorpe,Advance in Person,1609,Lieutenant Governor,1598,11
Oglethorpe,Election Day,2262,Lieutenant Governor,2254,8
Oglethorpe,Provisional,4,Lieutenant Governor,4,0
Paulding,Absentee by Mail,1789,Lieutenant Governor,1774,15
Paulding,Advance in Person,14824,Lieutenant Governor,14824,0
Paulding,Election Day,19620,Lieutenant Governor,19607,13
Paulding,Provisional,29,Lieutenant Governor,27,2
Peach,Absentee by Mail,215,Lieutenant Governor,214,1
Peach,Advance in Person,3402,Lieutenant Governor,3380,22
Peach,Election Day,3620,Lieutenant Governor,3610,10
Peach,Provisional,8,Lieutenant Governor,8,0
Pickens,Absentee by Mail,138,Lieutenant Governor,137,1
Pickens,Advance in Person,3653,Lieutenant Governor,3635,18
Pickens,Election Day,5031,Lieutenant Governor,5020,11
Pickens,Provisional,1,Lieutenant Governor,1,0
Pierce,Absentee by Mail,228,Lieutenant Governor,228,0
Pierce,Advance in Person,1629,Lieutenant Governor,1612,17
Pierce,Election Day,2106,Lieutenant Governor,2094,12
Pierce,Provisional,0,Lieutenant Governor,0,0
Pike,Absentee by Mail,246,Lieutenant Governor,243,3
Pike,Advance in Person,1650,Lieutenant Governor,1650,0
Pike,Election Day,3700,Lieutenant Governor,3688,12
Pike,Provisional,8,Lieutenant Governor,7,1
Polk,Absentee by Mail,235,Lieutenant Governor,232,3
Polk,Advance in Person,3214,Lieutenant Governor,3189,25
Polk,Election Day,4537,Lieutenant Governor,4515,22
Polk,Provisional,4,Lieutenant Governor,4,0
Pulaski,Absentee by Mail,86,Lieutenant Governor,85,1
Pulaski,Advance in Person,1249,Lieutenant Governor,1227,22
Pulaski,Election Day,1013,Lieutenant Governor,989,24
Pulaski,Provisional,2,Lieutenant Governor,2,0
Putnam,Absentee by Mail,387,Lieutenant Governor,387,0
Putnam,Advance in Person,2434,Lieutenant Governor,2434,0
Putnam,Election Day,3451,Lieutenant Governor,3437,14
Putnam,Provisional,2,Lieutenant Governor,2,0
Quitman,Absentee by Mail,41,Lieutenant Governor,41,0
Quitman,Advance in Person,209,Lieutenant Governor,203,6
Quitman,Election Day,347,Lieutenant Governor,342,5
Quitman,Provisional,1,Lieutenant Governor,1,0
Rabun,Absentee by Mail,427,Lieutenant Governor,419,8
Rabun,Advance in Person,3295,Lieutenant Governor,3224,71
Rabun,Election Day,1731,Lieutenant Governor,1688,43
Rabun,Provisional,0,Lieutenant Governor,0,0
Randolph,Absentee by Mail,149,Lieutenant Governor,146,3
Randolph,Advance in Person,789,Lieutenant Governor,774,15
Randolph,Election Day,1173,Lieutenant Governor,1161,12
Randolph,Provisional,7,Lieutenant Governor,6,1
Richmond,Absentee by Mail,3207,Lieutenant Governor,3184,23
Richmond,Advance in Person,13314,Lieutenant Governor,13159,155
Richmond,Election Day,31248,Lieutenant Governor,31007,241
Richmond,Provisional,71,Lieutenant Governor,70,1
Rockdale,Absentee by Mail,825,Lieutenant Governor,814,11
Rockdale,Advance in Person,13442,Lieutenant Governor,13397,45
Rockdale,Election Day,12256,Lieutenant Governor,12240,16
Rockdale,Provisional,48,Lieutenant Governor,47,1
Schley,Absentee by Mail,66,Lieutenant Governor,65,1
