County,Vote type,Total ballots,Contest,Ballots cast,Undervotes
Calhoun,Election Day,1107,Lieutenant Governor,1027,80
Calhoun,Provisional,0,Lieutenant Governor,0,0
Camden,Absentee by Mail,1193,Lieutenant Governor,1184,9
Camden,Advance in Person,8085,Lieutenant Governor,7818,267
Camden,Election Day,7775,Lieutenant Governor,7420,355
Camden,Provisional,8,Lieutenant Governor,8,0
Candler,Absentee by Mail,120,Lieutenant Governor,118,2
Candler,Advance in Person,2335,Lieutenant Governor,2220,115
Candler,Election Day,1083,Lieutenant Governor,1019,64
Candler,Provisional,1,Lieutenant Governor,1,0
Carroll,Absentee by Mail,1518,Lieutenant Governor,1511,7
Carroll,Advance in Person,20100,Lieutenant Governor,19356,744
Carroll,Election Day,20121,Lieutenant Governor,19324,797
Carroll,Provisional,104,Lieutenant Governor,103,1
Catoosa,Absentee by Mail,540,Lieutenant Governor,537,3
Catoosa,Advance in Person,13673,Lieutenant Governor,13161,512
Catoosa,Election Day,9512,Lieutenant Governor,9137,375
Catoosa,Provisional,33,Lieutenant Governor,33,0
Charlton,Absentee by Mail,163,Lieutenant Governor,163,0
Charlton,Advance in Person,1549,Lieutenant Governor,1458,91
Charlton,Election Day,1657,Lieutenant Governor,1557,100
Charlton,Provisional,8,Lieutenant Governor,8,0
Chatham,Absentee by Mail,6177,Lieutenant Governor,6103,74
Chatham,Advance in Person,32338,Lieutenant Governor,30949,1389
Chatham,Election Day,64823,Lieutenant Governor,61477,3346
Chatham,Provisional,205,Lieutenant Governor,203,2
Chattahoochee,Absentee by Mail,35,Lieutenant Governor,35,0
Chattahoochee,Advance in Person,493,Lieutenant Governor,458,35
Chattahoochee,Election Day,574,Lieutenant Governor,544,30
Chattahoochee,Provisional,3,Lieutenant Governor,3,0
Chattooga,Absentee by Mail,225,Lieutenant Governor,223,2
Chattooga,Advance in Person,3452,Lieutenant Governor,3327,125
Chattooga,Election Day,3750,Lieutenant Governor,3564,186
Chattooga,Provisional,7,Lieutenant Governor,7,0
Cherokee,Absentee by Mail,5312,Lieutenant Governor,5281,31
Cherokee,Advance in Person,48565,Lieutenant Governor,47390,1175
Cherokee,Election Day,52422,Lieutenant Governor,50839,1583
Cherokee,Provisional,112,Lieutenant Governor,111,1
Clarke,Absentee by Mail,3022,Lieutenant Governor,2990,32
Clarke,Advance in Person,19957,Lieutenant Governor,19255,702
Clarke,Election Day,20282,Lieutenant Governor,19361,921
Clarke,Provisional,41,Lieutenant Governor,40,1
Clay,Absentee by Mail,143,Lieutenant Governor,140,3
Clay,Advance in Person,579,Lieutenant Governor,546,33
Clay,Election Day,464,Lieutenant Governor,425,39
Clay,Provisional,0,Lieutenant Governor,0,0
Clayton,Absentee by Mail,5847,Lieutenant Governor,5789,58
Clayton,Advance in Person,47671,Lieutenant Governor,45402,2269
Clayton,Election Day,38322,Lieutenant Governor,35928,2394
Clayton,Provisional,372,Lieutenant Governor,357,15
Clinch,Absentee by Mail,109,Lieutenant Governor,108,1
Clinch,Advance in Person,1236,Lieutenant Governor,1159,77
Clinch,Election Day,909,Lieutenant Governor,824,85
Clinch,Provisional,4,Lieutenant Governor,4,0
Cobb,Absentee by Mail,25901,Lieutenant Governor,25699,202
Cobb,Advance in Person,111554,Lieutenant Governor,108818,2736
Cobb,Election Day,172926,Lieutenant Governor,167944,4982
Cobb,Provisional,1433,Lieutenant Governor,1397,36
Coffee,Absentee by Mail,395,Lieutenant Governor,389,6
Coffee,Advance in Person,7664,Lieutenant Governor,7105,559
Coffee,Election Day,4536,Lieutenant Governor,4171,365
Coffee,Provisional,20,Lieutenant Governor,19,1
Colquitt,Absentee by Mail,514,Lieutenant Governor,511,3
Colquitt,Advance in Person,6071,Lieutenant Governor,5704,367
Colquitt,Election Day,6368,Lieutenant Governor,5919,449
Colquitt,Provisional,10,Lieutenant Governor,10,0
Columbia,Absentee by Mail,2936,Lieutenant Governor,2909,27
Columbia,Advance in Person,29686,Lieutenant Governor,28708,978
Columbia,Election Day,28969,Lieutenant Governor,28019,950
Columbia,Provisional,43,Lieutenant Governor,43,0
Cook,Absentee by Mail,244,Lieutenant Governor,241,3
Cook,Advance in Person,3069,Lieutenant Governor,2927,142
Cook,Election Day,2490,Lieutenant Governor,2350,140
Cook,Provisional,0,Lieutenant Governor,0,0
Coweta,Absentee by Mail,2812,Lieutenant Governor,2792,20
Coweta,Advance in Person,25641,Lieutenant Governor,24794,847
Coweta,Election Day,29603,Lieutenant Governor,28541,1062
Coweta,Provisional,15,Lieutenant Governor,15,0
Crawford,Absentee by Mail,234,Lieutenant Governor,230,4
Crawford,Advance in Person,2567,Lieutenant Governor,2402,165
Crawford,Election Day,2130,Lieutenant Governor,2036,94
Crawford,Provisional,3,Lieutenant Governor,3,0
Crisp,Absentee by Mail,363,Lieutenant Governor,359,4
Crisp,Advance in Person,4191,Lieutenant Governor,3973,218
Crisp,Election Day,2470,Lieutenant Governor,2258,212
Crisp,Provisional,26,Lieutenant Governor,24,2
Dade,Absentee by Mail,129,Lieutenant Governor,125,4
Dade,Advance in Person,2561,Lieutenant Governor,2437,124
Dade,Election Day,2760,Lieutenant Governor,2635,125
Dade,Provisional,12,Lieutenant Governor,12,0
Dawson,Absentee by Mail,439,Lieutenant Governor,436,3
Dawson,Advance in Person,7020,Lieutenant Governor,6802,218
Dawson,Election Day,4111,Lieutenant Governor,3965,146
Dawson,Provisional,11,Lieutenant Governor,11,0
DeKalb,Absentee by Mail,19672,Lieutenant Governor,19365,307
DeKalb,Advance in Person,150814,Lieutenant Governor,145179,5635
DeKalb,Election Day,140482,Lieutenant Governor,133659,6823
DeKalb,Provisional,1773,Lieutenant Governor,1730,43
Decatur,Absentee by Mail,548,Lieutenant Governor,547,1
Decatur,Advance in Person,4260,Lieutenant Governor,4027,233
Decatur,Election Day,4235,Lieutenant Governor,3971,264
Decatur,Provisional,103,Lieutenant Governor,101,2
Dodge,Absentee by Mail,448,Lieutenant Governor,439,9
Dodge,Advance in Person,3411,Lieutenant Governor,3187,224
Dodge,Election Day,3192,Lieutenant Governor,2948,244
Dodge,Provisional,10,Lieutenant Governor,10,0
Dooly,Absentee by Mail,196,Lieutenant Governor,192,4
Dooly,Advance in Person,1889,Lieutenant Governor,1731,158
Dooly,Election Day,1708,Lieutenant Governor,1558,150
Dooly,Provisional,2,Lieutenant Governor,1,1
Dougherty,Absentee by Mail,1944,Lieutenant Governor,1922,22
Dougherty,Advance in Person,11332,Lieutenant Governor,10501,831
Dougherty,Election Day,18021,Lieutenant Governor,16831,1190
Dougherty,Provisional,128,Lieutenant Governor,126,2
Douglas,Absentee by Mail,3233,Lieutenant Governor,3213,20
Douglas,Advance in Person,30219,Lieutenant Governor,29248,971
Douglas,Election Day,21745,Lieutenant Governor,20842,903
Douglas,Provisional,58,Lieutenant Governor,58,0
Early,Absentee by Mail,473,Lieutenant Governor,463,10
Early,Advance in Person,1569,Lieutenant Governor,1507,62
Early,Election Day,2089,Lieutenant Governor,1969,120
Early,Provisional,4,Lieutenant Governor,4,0
Echols,Absentee by Mail,35,Lieutenant Governor,35,0
Echols,Advance in Person,767,Lieutenant Governor,717,50
Echols,Election Day,341,Lieutenant Governor,319,22
Echols,Provisional,0,Lieutenant Governor,0,0
Effingham,Absentee by Mail,750,Lieutenant Governor,740,10
Effingham,Advance in Person,10717,Lieutenant Governor,10242,475
Effingham,Election Day,11898,Lieutenant Governor,11432,466
Effingham,Provisional,6,Lieutenant Governor,6,0
Elbert,Absentee by Mail,563,Lieutenant Governor,561,2
Elbert,Advance in Person,3722,Lieutenant Governor,3543,179
Elbert,Election Day,3034,Lieutenant Governor,2851,183
Elbert,Provisional,69,Lieutenant Governor,68,1
Emanuel,Absentee by Mail,390,Lieutenant Governor,382,8
Emanuel,Advance in Person,3424,Lieutenant Governor,3253,171
Emanuel,Election Day,3896,Lieutenant Governor,3592,304
Emanuel,Provisional,6,Lieutenant Governor,6,0
Evans,Absentee by Mail,199,Lieutenant Governor,197,2
Evans,Advance in Person,2162,Lieutenant Governor,2002,160
Evans,Election Day,1086,Lieutenant Governor,1025,61
Evans,Provisional,0,Lieutenant Governor,0,0
Fannin,Absentee by Mail,658,Lieutenant Governor,658,0
Fannin,Advance in Person,5341,Lieutenant Governor,5131,210
Fannin,Election Day,5204,Lieutenant Governor,4922,282
Fannin,Provisional,16,Lieutenant Governor,16,0
Fayette,Absentee by Mail,2647,Lieutenant Governor,2626,21
Fayette,Advance in Person,31073,Lieutenant Governor,30318,755
Fayette,Election Day,24242,Lieutenant Governor,23446,796
Fayette,Provisional,36,Lieutenant Governor,35,1
Floyd,Absentee by Mail,1260,Lieutenant Governor,1253,7
Floyd,Advance in Person,13688,Lieutenant Governor,13165,523
Floyd,Election Day,15277,Lieutenant Governor,14576,701
Floyd,Provisional,113,Lieutenant Governor,111,2
Forsyth,Absentee by Mail,4428,Lieutenant Governor,4399,29
Forsyth,Advance in Person,52559,Lieutenant Governor,51570,989
Forsyth,Election Day,36252,Lieutenant Governor,35280,972
Forsyth,Provisional,59,Lieutenant Governor,59,0
Franklin,Absentee by Mail,388,Lieutenant Governor,387,1
Franklin,Advance in Person,3502,Lieutenant Governor,3379,123
Franklin,Election Day,4259,Lieutenant Governor,4026,233
Franklin,Provisional,0,Lieutenant Governor,0,0
Fulton,Absentee by Mail,17842,Lieutenant Governor,17617,225
Fulton,Advance in Person,224522,Lieutenant Governor,216707,7815
Fulton,Election Day,179442,Lieutenant Governor,171285,8157
Fulton,Provisional,1982,Lieutenant Governor,1915,67
Gilmer,Absentee by Mail,559,Lieutenant Governor,559,0
Gilmer,Advance in Person,6295,Lieutenant Governor,6044,251
Gilmer,Election Day,5617,Lieutenant Governor,5403,214
Gilmer,Provisional,39,Lieutenant Governor,38,1
Glascock,Absentee by Mail,81,Lieutenant Governor,81,0
Glascock,Advance in Person,652,Lieutenant Governor,614,38
Glascock,Election Day,567,Lieutenant Governor,528,39
Glascock,Provisional,1,Lieutenant Governor,1,0
Glynn,Absentee by Mail,1812,Lieutenant Governor,1799,13
Glynn,Advance in Person,17510,Lieutenant Governor,16768,742
Glynn,Election Day,13179,Lieutenant Governor,12550,629
Glynn,Provisional,147,Lieutenant Governor,144,3
Gordon,Absentee by Mail,547,Lieutenant Governor,538,9
Gordon,Advance in Person,8119,Lieutenant Governor,7800,319
Gordon,Election Day,9106,Lieutenant Governor,8774,332
Gordon,Provisional,32,Lieutenant Governor,32,0
Grady,Absentee by Mail,400,Lieutenant Governor,398,2
Grady,Advance in Person,3857,Lieutenant Governor,3697,160
Grady,Election Day,4099,Lieutenant Governor,3879,220
Grady,Provisional,14,Lieutenant Governor,14,0
Greene,Absentee by Mail,623,Lieutenant Governor,615,8
Greene,Advance in Person,5593,Lieutenant Governor,5407,186
Greene,Election Day,2773,Lieutenant Governor,2584,189
Greene,Provisional,6,Lieutenant Governor,6,0
Gwinnett,Absentee by Mail,20397,Lieutenant Governor,20252,145
Gwinnett,Advance in Person,137166,Lieutenant Governor,132348,4818
Gwinnett,Election Day,155146,Lieutenant Governor,148451,6695
Gwinnett,Provisional,2209,Lieutenant Governor,2170,39
Habersham,Absentee by Mail,853,Lieutenant Governor,844,9
Habersham,Advance in Person,10023,Lieutenant Governor,9693,330
Habersham,Election Day,4619,Lieutenant Governor,4430,189
Habersham,Provisional,5,Lieutenant Governor,5,0
Hall,Absentee by Mail,3493,Lieutenant Governor,3476,17
Hall,Advance in Person,24348,Lieutenant Governor,23638,710
Hall,Election Day,39441,Lieutenant Governor,37804,1637
Hall,Provisional,124,Lieutenant Governor,119,5
Hancock,Absentee by Mail,490,Lieutenant Governor,474,16
Hancock,Advance in Person,1531,Lieutenant Governor,1396,135
Hancock,Election Day,1518,Lieutenant Governor,1358,160
Hancock,Provisional,9,Lieutenant Governor,8,1
Haralson,Absentee by Mail,393,Lieutenant Governor,392,1
Haralson,Advance in Person,4202,Lieutenant Governor,4060,142
Haralson,Election Day,5990,Lieutenant Governor,5746,244
Haralson,Provisional,0,Lieutenant Governor,0,0
Harris,Absentee by Mail,729,Lieutenant Governor,720,9
Harris,Advance in Person,7251,Lieutenant Governor,6966,285
Harris,Election Day,7992,Lieutenant Governor,7647,345
Harris,Provisional,14,Lieutenant Governor,14,0
Hart,Absentee by Mail,440,Lieutenant Governor,436,4
Hart,Advance in Person,5220,Lieutenant Governor,4962,258
Hart,Election Day,3958,Lieutenant Governor,3764,194
Hart,Provisional,4,Lieutenant Governor,4,0
Heard,Absentee by Mail,278,Lieutenant Governor,274,4
Heard,Advance in Person,1427,Lieutenant Governor,1364,63
Heard,Election Day,2346,Lieutenant Governor,2254,92
Heard,Provisional,4,Lieutenant Governor,4,0
Henry,Absentee by Mail,4997,Lieutenant Governor,4948,49
Henry,Advance in Person,58658,Lieutenant Governor,56079,2579
Henry,Election Day,34710,Lieutenant Governor,33245,1465
Henry,Provisional,193,Lieutenant Governor,189,4
Houston,Absentee by Mail,3190,Lieutenant Governor,3164,26
Houston,Advance in Person,34816,Lieutenant Governor,33378,1438
Houston,Election Day,21152,Lieutenant Governor,20284,868
Houston,Provisional,74,Lieutenant Governor,72,2
Irwin,Absentee by Mail,133,Lieutenant Governor,133,0
Irwin,Advance in Person,2048,Lieutenant Governor,1956,92
Irwin,Election Day,1375,Lieutenant Governor,1307,68
Irwin,Provisional,8,Lieutenant Governor,8,0
Jackson,Absentee by Mail,1019,Lieutenant Governor,1012,7
Jackson,Advance in Person,14919,Lieutenant Governor,14392,527
Jackson,Election Day,10951,Lieutenant Governor,10581,370
Jackson,Provisional,10,Lieutenant Governor,10,0
Jasper,Absentee by Mail,421,Lieutenant Governor,418,3
Jasper,Advance in Person,2981,Lieutenant Governor,2884,97
Jasper,Election Day,2505,Lieutenant Governor,2378,127
Jasper,Provisional,38,Lieutenant Governor,37,1
Jeff Davis,Absentee by Mail,229,Lieutenant Governor,226,3
Jeff Davis,Advance in Person,2680,Lieutenant Governor,2564,116
Jeff Davis,Election Day,1906,Lieutenant Governor,1824,82
Jeff Davis,Provisional,0,Lieutenant Governor,0,0
Jefferson,Absentee by Mail,607,Lieutenant Governor,598,9
Jefferson,Advance in Person,2803,Lieutenant Governor,2564,239
Jefferson,Election Day,3346,Lieutenant Governor,3054,292
Jefferson,Provisional,11,Lieutenant Governor,11,0
Jenkins,Absentee by Mail,188,Lieutenant Governor,181,7
Jenkins,Advance in Person,1557,Lieutenant Governor,1468,89
Jenkins,Election Day,1111,Lieutenant Governor,1042,69
Jenkins,Provisional,16,Lieutenant Governor,16,0
Johnson,Absentee by Mail,236,Lieutenant Governor,225,11
Johnson,Advance in Person,1970,Lieutenant Governor,1848,122
Johnson,Election Day,1277,Lieutenant Governor,1182,95
Johnson,Provisional,0,Lieutenant Governor,0,0
Jones,Absentee by Mail,784,Lieutenant Governor,773,11
Jones,Advance in Person,6968,Lieutenant Governor,6667,301
Jones,Election Day,4680,Lieutenant Governor,4498,182
Jones,Provisional,9,Lieutenant Governor,9,0
Lamar,Absentee by Mail,404,Lieutenant Governor,402,2
Lamar,Advance in Person,3820,Lieutenant Governor,3598,222
Lamar,Election Day,3122,Lieutenant Governor,2938,184
Lamar,Provisional,11,Lieutenant Governor,11,0
Lanier,Absentee by Mail,108,Lieutenant Governor,106,2
Lanier,Advance in Person,1661,Lieutenant Governor,1553,108
Lanier,Election Day,910,Lieutenant Governor,827,83
Lanier,Provisional,2,Lieutenant Governor,2,0
Laurens,Absentee by Mail,1286,Lieutenant Governor,1265,21
Laurens,Advance in Person,8485,Lieutenant Governor,7997,488
Laurens,Election Day,9168,Lieutenant Governor,8632,536
Laurens,Provisional,13,Lieutenant Governor,12,1
Lee,Absentee by Mail,480,Lieutenant Governor,473,7
Lee,Advance in Person,5681,Lieutenant Governor,5476,205
Lee,Election Day,7388,Lieutenant Governor,7064,324
Lee,Provisional,6,Lieutenant Governor,6,0
Liberty,Absentee by Mail,950,Lieutenant Governor,944,6
Liberty,Advance in Person,8143,Lieutenant Governor,7795,348
Liberty,Election Day,6265,Lieutenant Governor,5971,294
Liberty,Provisional,10,Lieutenant Governor,10,0
Lincoln,Absentee by Mail,350,Lieutenant Governor,347,3
Lincoln,Advance in Person,1937,Lieutenant Governor,1851,86
Lincoln,Election Day,1680,Lieutenant Governor,1589,91
Lincoln,Provisional,2,Lieutenant Governor,2,0
Long,Absentee by Mail,169,Lieutenant Governor,167,2
Long,Advance in Person,1971,Lieutenant Governor,1892,79
Long,Election Day,1848,Lieutenant Governor,1734,114
Long,Provisional,10,Lieutenant Governor,10,0
Lowndes,Absentee by Mail,1890,Lieutenant Governor,1865,25
Lowndes,Advance in Person,21238,Lieutenant Governor,20272,966
Lowndes,Election Day,12084,Lieutenant Governor,11498,586
Lowndes,Provisional,541,Lieutenant Governor,525,16
Lumpkin,Absentee by Mail,467,Lieutenant Governor,466,1
Lumpkin,Advance in Person,7377,Lieutenant Governor,7183,194
Lumpkin,Election Day,3707,Lieutenant Governor,3578,129
Lumpkin,Provisional,7,Lieutenant Governor,7,0
Macon,Absentee by Mail,331,Lieutenant Governor,327,4
Macon,Advance in Person,2251,Lieutenant Governor,2062,189
Macon,Election Day,1635,Lieutenant Governor,1494,141
Macon,Provisional,0,Lieutenant Governor,0,0
Madison,Absentee by Mail,527,Lieutenant Governor,523,4
Madison,Advance in Person,5242,Lieutenant Governor,5011,231
Madison,Election Day,5928,Lieutenant Governor,5647,281
Madison,Provisional,2,Lieutenant Governor,2,0
Marion,Absentee by Mail,241,Lieutenant Governor,239,2
Marion,Advance in Person,1222,Lieutenant Governor,1099,123
Marion,Election Day,1467,Lieutenant Governor,1373,94
Marion,Provisional,1,Lieutenant Governor,1,0
McDuffie,Absentee by Mail,868,Lieutenant Governor,858,10
McDuffie,Advance in Person,5045,Lieutenant Governor,4771,274
McDuffie,Election Day,2879,Lieutenant Governor,2699,180
McDuffie,Provisional,0,Lieutenant Governor,0,0
McIntosh,Absentee by Mail,440,Lieutenant Governor,434,6
McIntosh,Advance in Person,2945,Lieutenant Governor,2789,156
McIntosh,Election Day,2023,Lieutenant Governor,1901,122
McIntosh,Provisional,0,Lieutenant Governor,0,0
Meriwether,Absentee by Mail,483,Lieutenant Governor,481,2
Meriwether,Advance in Person,2831,Lieutenant Governor,2664,167
Meriwether,Election Day,5325,Lieutenant Governor,4998,327
Meriwether,Provisional,11,Lieutenant Governor,11,0
Miller,Absentee by Mail,132,Lieutenant Governor,128,4
Miller,Advance in Person,1029,Lieutenant Governor,960,69
Miller,Election Day,1152,Lieutenant Governor,1062,90
Miller,Provisional,2,Lieutenant Governor,2,0
Mitchell,Absentee by Mail,564,Lieutenant Governor,557,7
Mitchell,Advance in Person,3343,Lieutenant Governor,3092,251
Mitchell,Election Day,3539,Lieutenant Governor,3281,258
Mitchell,Provisional,9,Lieutenant Governor,9,0
Monroe,Absentee by Mail,696,Lieutenant Governor,696,0
Monroe,Advance in Person,6311,Lieutenant Governor,5997,314
Monroe,Election Day,5925,Lieutenant Governor,5618,307
Monroe,Provisional,10,Lieutenant Governor,10,0
Montgomery,Absentee by Mail,211,Lieutenant Governor,206,5
Montgomery,Advance in Person,1416,Lieutenant Governor,1371,45
Montgomery,Election Day,1901,Lieutenant Governor,1832,69
Montgomery,Provisional,0,Lieutenant Governor,0,0
Morgan,Absentee by Mail,410,Lieutenant Governor,403,7
Morgan,Advance in Person,5406,Lieutenant Governor,5161,245
Morgan,Election Day,3738,Lieutenant Governor,3592,146
Morgan,Provisional,4,Lieutenant Governor,4,0
Murray,Absentee by Mail,265,Lieutenant Governor,259,6
Murray,Advance in Person,5111,Lieutenant Governor,4828,283
Murray,Election Day,5715,Lieutenant Governor,5394,321
Murray,Provisional,0,Lieutenant Governor,0,0
Muscogee,Absentee by Mail,4422,Lieutenant Governor,4371,51
Muscogee,Advance in Person,27700,Lieutenant Governor,25692,2008
Muscogee,Election Day,31019,Lieutenant Governor,28984,2035
Muscogee,Provisional,131,Lieutenant Governor,131,0
Newton,Absentee by Mail,2735,Lieutenant Governor,2714,21
Newton,Advance in Person,19236,Lieutenant Governor,18359,877
Newton,Election Day,21158,Lieutenant Governor,20158,1000
Newton,Provisional,12,Lieutenant Governor,12,0
Oconee,Absentee by Mail,931,Lieutenant Governor,925,6
Oconee,Advance in Person,11688,Lieutenant Governor,11428,260
Oconee,Election Day,8114,Lieutenant Governor,7873,241
Oconee,Provisional,11,Lieutenant Governor,11,0
Oglethorpe,Absentee by Mail,409,Lieutenant Governor,405,4
Oglethorpe,Advance in Person,3417,Lieutenant Governor,3280,137
Oglethorpe,Election Day,2658,Lieutenant Governor,2507,151
Oglethorpe,Provisional,1,Lieutenant Governor,1,0
Paulding,Absentee by Mail,3307,Lieutenant Governor,3281,26
Paulding,Advance in Person,32842,Lieutenant Governor,31833,1009
Paulding,Election Day,25073,Lieutenant Governor,24076,997
Paulding,Provisional,83,Lieutenant Governor,81,2
Peach,Absentee by Mail,445,Lieutenant Governor,437,8
Peach,Advance in Person,6720,Lieutenant Governor,6378,342
Peach,Election Day,3190,Lieutenant Governor,3021,169
Peach,Provisional,90,Lieutenant Governor,86,4
Pickens,Absentee by Mail,222,Lieutenant Governor,221,1
Pickens,Advance in Person,7121,Lieutenant Governor,6930,191
Pickens,Election Day,6019,Lieutenant Governor,5760,259
Pickens,Provisional,0,Lieutenant Governor,0,0
Pierce,Absentee by Mail,327,Lieutenant Governor,326,1
Pierce,Advance in Person,4598,Lieutenant Governor,4420,178
Pierce,Election Day,1958,Lieutenant Governor,1843,115
Pierce,Provisional,1,Lieutenant Governor,1,0
Pike,Absentee by Mail,304,Lieutenant Governor,302,2
Pike,Advance in Person,4478,Lieutenant Governor,4338,140
Pike,Election Day,3752,Lieutenant Governor,3633,119
Pike,Provisional,9,Lieutenant Governor,9,0
Polk,Absentee by Mail,447,Lieutenant Governor,444,3
Polk,Advance in Person,7744,Lieutenant Governor,7322,422
Polk,Election Day,4668,Lieutenant Governor,4419,249
Polk,Provisional,2,Lieutenant Governor,2,0
Pulaski,Absentee by Mail,232,Lieutenant Governor,223,9
Pulaski,Advance in Person,2522,Lieutenant Governor,2356,166
Pulaski,Election Day,868,Lieutenant Governor,786,82
Pulaski,Provisional,0,Lieutenant Governor,0,0
Putnam,Absentee by Mail,598,Lieutenant Governor,595,3
Putnam,Advance in Person,4858,Lieutenant Governor,4718,140
Putnam,Election Day,3865,Lieutenant Governor,3709,156
Putnam,Provisional,14,Lieutenant Governor,14,0
Quitman,Absentee by Mail,60,Lieutenant Governor,53,7
Quitman,Advance in Person,451,Lieutenant Governor,408,43
Quitman,Election Day,429,Lieutenant Governor,379,50
Quitman,Provisional,0,Lieutenant Governor,0,0
Rabun,Absentee by Mail,843,Lieutenant Governor,834,9
Rabun,Advance in Person,4889,Lieutenant Governor,4726,163
Rabun,Election Day,1846,Lieutenant Governor,1769,77
Rabun,Provisional,0,Lieutenant Governor,0,0
Randolph,Absentee by Mail,313,Lieutenant Governor,308,5
Randolph,Advance in Person,1232,Lieutenant Governor,1131,101
Randolph,Election Day,1243,Lieutenant Governor,1130,113
Randolph,Provisional,1,Lieutenant Governor,1,0
Richmond,Absentee by Mail,5314,Lieutenant Governor,5255,59
Richmond,Advance in Person,28737,Lieutenant Governor,27187,1550
Richmond,Election Day,35992,Lieutenant Governor,34068,1924
Richmond,Provisional,112,Lieutenant Governor,111,1
Rockdale,Absentee by Mail,1853,Lieutenant Governor,1847,6
